SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"SHYAMMETL","1,030.00","1,074.70","1,020.50","1,022.50","1,060.40","-","37.9","3.71","683142","72.53","1,074.70","746.00","9.32","16.45"
"NMDC","83.75","84.90","83.27","83.22","84.31","-","1.09","1.31","8603450","72.53","97.49","68.19","-4.65","18.02"
"TATAPOWER","377.00","383.95","375.55","377.25","382.00","-","4.75","1.26","1902706","72.50","464.90","342.50","-5.02","-6.31"
"IDFCFIRSTB","79.99","80.64","79.70","80.35","80.23","-","-0.12","-0.15","8901274","71.39","87.00","58.08","1.94","9.74"
"PERSISTENT","5,183.90","5,238.00","5,166.00","5,183.90","5,219.90","-","36","0.69","137042","71.37","6,599.00","4,244.50","8.09","-5.91"
"BHARATFORG","2,194.70","2,200.00","2,169.10","2,190.50","2,182.00","-","-8.5","-0.39","321278","70.11","2,238.00","1,100.50","6.94","79.43"
"WELCORP","1,585.00","1,643.60","1,582.70","1,581.50","1,635.20","-","53.7","3.4","429674","69.77","1,698.80","710.00","14.91","77.12"
"PCBL","318.60","334.25","318.60","320.80","328.35","-","7.55","2.35","2110717","69.75","430.00","226.50","6.09","-21.91"
"AMBER","7,765.50","7,879.50","7,670.00","7,804.50","7,841.00","-","36.5","0.47","88614","68.98","8,974.00","5,400.50","-0.57","3.16"
"GLENMARK","2,235.00","2,270.00","2,225.30","2,235.50","2,229.00","-","-6.5","-0.29","305768","68.50","2,474.00","1,792.60","0.7","0.16"
"NYKAA","322.40","329.60","322.40","323.05","325.65","-","2.6","0.8","2070587","67.65","332.15","200.14","7.74","53.01"
"HAL","4,500.00","4,515.00","4,470.50","4,500.70","4,486.20","-","-14.5","-0.32","149573","67.20","4,978.00","3,479.10","1.56","-3.76"
"PFC","403.25","411.90","401.45","404.85","409.05","-","4.2","1.04","1643728","67.11","486.50","329.90","-5.09","-2.71"
"VBL","462.90","465.95","460.00","463.35","461.70","-","-1.65","-0.36","1448792","67.08","555.80","381.00","-12.83","-4.81"
"SAMMAANCAP","163.00","164.85","163.00","163.62","163.86","-","0.24","0.15","4059775","66.61","192.95","114.10","-6.27","20.23"
"EICHERMOT","7,569.00","7,581.00","7,491.00","7,563.50","7,535.50","-","-28","-0.37","88041","66.32","8,230.00","5,353.00","-0.99","33.9"
