SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"SIEMENS","3,651.00","3,684.80","3,617.00","3,658.80","3,643.40","-","-15.4","-0.42","67526","24.66","3,937.30","2,826.00","-3.11","16.44"
"SONATSOFTW","306.00","313.95","305.00","307.45","310.60","-","3.15","1.02","791600","24.59","442.80","207.15","4.51","-28.89"
"PIIND","2,632.00","2,682.90","2,628.00","2,623.80","2,668.30","-","44.5","1.7","92170","24.58","4,330.00","2,527.00","-4.75","-35.2"
"GLAND","2,449.90","2,492.00","2,445.00","2,449.00","2,464.00","-","15","0.61","97494","24.10","2,573.50","1,573.60","12.07","23.21"
"MAPMYINDIA","1,173.00","1,181.40","1,107.00","1,173.05","1,112.10","-","-60.95","-5.2","210583","23.74","1,998.00","795.00","25.07","-38.52"
"NLCINDIA","296.00","300.30","294.25","295.60","297.50","-","1.9","0.64","795141","23.71","387.80","222.00","-7.54","27.33"
"CGCL","256.38","258.70","250.70","256.38","252.02","-","-4.36","-1.7","929367","23.65","264.53","151.10","13.96","37.03"
"RRKABEL","2,295.90","2,296.70","2,246.30","2,293.30","2,288.90","-","-4.4","-0.19","103036","23.47","2,549.00","1,165.00","-1.45","55.45"
"ACMESOLAR","383.00","393.90","380.25","385.25","384.05","-","-1.2","-0.31","594886","23.02","398.65","195.90","13.82","39.47"
"CENTRALBK","31.79","31.91","31.41","31.66","31.61","-","-0.05","-0.16","7115218","22.54","40.92","29.32","-3.75","-17.12"
"PAGEIND","40,080.00","40,315.00","39,700.00","39,900.00","40,120.00","-","220","0.55","5609","22.47","49,090.00","29,805.00","0.36","-14.16"
"RPOWER","24.30","24.58","24.13","24.44","24.27","-","-0.17","-0.7","9224678","22.44","66.60","20.17","-6.97","-62.07"
"PRESTIGE","1,690.70","1,691.40","1,662.60","1,693.00","1,676.00","-","-17","-1","131505","22.06","1,814.00","1,090.00","11.99","-5.91"
"OLECTRA","1,340.00","1,360.20","1,333.50","1,346.70","1,340.10","-","-6.6","-0.49","163089","21.91","1,714.20","866.60","-11.89","4.35"
"AFCONS","298.00","298.00","291.50","299.75","294.00","-","-5.75","-1.92","737845","21.74","479.40","265.80","-6.21","-29.52"
"GODREJIND","1,334.00","1,379.00","1,327.30","1,334.70","1,364.60","-","29.9","2.24","158879","21.68","1,443.00","744.20","22.62","18.13"
"DABUR","427.20","430.95","424.10","427.20","427.70","-","0.5","0.12","503563","21.54","577.00","403.35","0.99","-18.16"
"ZFCVINDIA","2,360.00","2,410.00","2,340.00","2,410.30","2,380.30","-","-30","-1.24","89459","21.27","3,044.00","2,050.33","-9.66","8.63"
"IREDA","120.50","122.58","120.30","121.64","121.40","-","-0.24","-0.2","1749463","21.24","163.35","108.65","-4.49","-22.84"
"ANURAS","1,263.60","1,273.80","1,263.60","1,267.50","1,270.00","-","2.5","0.2","165794","21.06","1,415.00","1,045.20","-0.56","10.43"
"NBCC","97.50","97.83","96.42","97.25","97.12","-","-0.13","-0.13","2150445","20.89","125.85","77.18","-12.9","-14.14"
"TATACONSUM","1,089.00","1,097.90","1,085.30","1,088.60","1,092.70","-","4.1","0.38","187635","20.48","1,282.70","1,007.20","-1.69","-0.29"
"BLUESTARCO","1,674.90","1,703.10","1,660.00","1,686.90","1,694.80","-","7.9","0.47","120515","20.28","2,040.00","1,450.00","1.57","-8.17"
"HEG","585.00","595.70","582.80","587.35","587.30","-","-0.05","-0.01","340574","20.07","690.00","459.80","10.26","8.73"
"ONESOURCE","1,664.00","1,694.80","1,638.20","1,653.20","1,686.70","-","33.5","2.03","120273","20.05","2,026.50","1,057.00","4.87","-15.46"
"CEMPRO","1,620.00","1,623.00","1,595.00","1,615.00","1,616.70","-","1.7","0.11","123922","20.01","1,647.30","503.30","29.02","99.89"
"AARTIIND","492.70","502.60","489.35","493.95","497.95","-","4","0.81","400862","19.89","523.10","338.05","2.73","11.44"
"DALBHARAT","1,829.50","1,850.00","1,811.40","1,823.20","1,847.10","-","23.9","1.31","107382","19.77","2,496.30","1,605.00","7.59","-17.95"
"SAGILITY","41.76","41.81","41.16","41.75","41.20","-","-0.55","-1.32","4762447","19.74","57.89","35.83","4.36","-6.7"
"ICICIAMC","3,196.00","3,196.00","3,126.30","3,182.80","3,139.40","-","-43.4","-1.36","62057","19.54","3,611.00","2,530.00","-8.52","0"
"ZYDUSLIFE","1,140.70","1,164.00","1,140.70","1,143.70","1,158.00","-","14.3","1.25","166829","19.28","1,181.50","835.50","8.14","18.78"
"ALKEM","5,595.00","5,673.50","5,564.00","5,563.00","5,662.50","-","99.5","1.79","33990","19.19","5,933.50","4,738.50","5.38","13.28"
"SYNGENE","417.45","418.45","410.80","417.45","416.50","-","-0.95","-0.23","459779","19.11","728.60","380.00","-5.5","-36.63"
"NEULANDLAB","18,442.00","19,015.00","18,442.00","18,434.00","18,820.00","-","386","2.09","10128","19.05","20,089.00","11,500.00","8.46","31.9"
"RHIM","409.00","423.20","407.30","409.00","416.90","-","7.9","1.93","446117","18.68","537.70","323.05","9.1","-13.7"
"SBILIFE","1,831.00","1,835.00","1,812.00","1,829.40","1,814.10","-","-15.3","-0.84","101030","18.42","2,132.00","1,700.40","0.77","1.43"
"IPCALAB","1,901.00","1,928.30","1,867.60","1,900.60","1,870.00","-","-30.6","-1.61","96372","18.14","1,944.90","1,251.60","17.92","27.12"
"APLAPOLLO","1,795.40","1,821.80","1,789.30","1,795.40","1,812.00","-","16.6","0.92","99839","18.08","2,301.40","1,492.00","-3.24","8.68"
"AFFLE","1,520.00","1,526.20","1,498.00","1,532.50","1,516.20","-","-16.3","-1.06","119028","17.97","2,185.90","1,251.30","3.57","-20.37"
"JUBLFOOD","418.45","423.60","415.20","417.15","420.85","-","3.7","0.89","426454","17.89","695.50","408.80","0.41","-38.3"
"NUVAMA","1,845.00","1,878.70","1,831.70","1,863.10","1,869.00","-","5.9","0.32","96044","17.86","1,993.70","1,096.90","7.48","20.97"
"ZENTEC","1,767.00","1,784.00","1,745.10","1,769.70","1,749.00","-","-20.7","-1.17","99340","17.48","2,024.00","1,223.00","-12.47","-7.03"
"SAILIFE","1,278.00","1,297.80","1,270.00","1,272.00","1,291.80","-","19.8","1.56","135549","17.43","1,300.00","778.50","6.16","58.4"
"UNOMINDA","1,155.00","1,163.50","1,140.20","1,154.80","1,141.90","-","-12.9","-1.12","150963","17.37","1,382.00","994.00","2.32","4.82"
"TORNTPOWER","1,391.50","1,444.20","1,391.50","1,390.50","1,437.00","-","46.5","3.34","120815","17.24","1,824.10","1,188.00","-0.06","5.03"
"FORTIS","950.20","959.50","948.80","952.45","957.80","-","5.35","0.56","178582","17.04","1,104.30","766.80","-0.51","19.97"
"NTPCGREEN","92.24","93.90","91.20","91.97","92.04","-","0.07","0.08","1837611","16.98","119.95","84.00","-4.18","-16.84"
"AIIL","564.40","564.40","549.00","571.00","554.05","-","-16.95","-2.97","302661","16.78","683.00","400.00","1.99","-1.13"
"CHOICEIN","808.00","812.40","804.00","808.80","811.50","-","2.7","0.33","204395","16.53","860.50","568.70","11.64","7.64"
"AMBUJACEM","436.80","437.90","432.00","438.50","436.05","-","-2.45","-0.56","378481","16.46","624.95","394.00","2.92","-26.87"
"GODFRYPHLP","2,104.00","2,148.90","2,090.90","2,109.90","2,135.10","-","25.2","1.19","76974","16.36","3,947.00","1,832.10","-5.97","-31.52"
"JINDALSAW","265.35","266.60","262.25","269.45","263.25","-","-6.2","-2.3","613274","16.19","278.95","153.00","0.89","15.19"
"MOTILALOFS","972.00","972.00","955.25","967.10","960.70","-","-6.4","-0.66","164138","15.81","1,097.10","614.90","0.72","5.35"
"LICI","433.10","434.80","430.00","433.10","433.30","-","0.2","0.05","365740","15.81","468.48","360.75","-1.56","-6.13"
"CLEAN","748.00","748.00","715.50","744.40","722.25","-","-22.15","-2.98","215452","15.62","1,484.00","652.00","-7.59","-45.19"
"COHANCE","445.00","457.25","435.00","441.90","445.10","-","3.2","0.72","347680","15.62","1,121.15","266.70","9.67","-58.91"
"PNBHOUSING","1,101.80","1,107.10","1,088.20","1,099.80","1,098.00","-","-1.8","-0.16","141564","15.55","1,132.70","729.60","9.47","1.46"
"LTTS","3,390.00","3,453.60","3,376.10","3,415.30","3,402.50","-","-12.8","-0.37","45118","15.39","4,726.00","3,010.00","2.17","-22.68"
"GRAPHITE","635.00","636.45","627.35","644.65","629.75","-","-7.9","-1.24","240047","15.17","802.40","505.80","-1.7","8.56"
"M&MFIN","325.00","325.00","319.45","324.20","320.65","-","-3.55","-1.1","464090","14.94","412.20","246.35","9.1","23.48"
"KEC","492.40","493.15","484.10","495.40","487.35","-","-8.05","-1.62","302763","14.76","937.80","466.00","-9.99","-44.31"
"APTUS","307.95","308.85","304.15","306.85","307.30","-","0.45","0.15","477996","14.67","364.00","193.03","13.92","-12.39"
"SCHNEIDER","1,271.50","1,328.20","1,263.10","1,278.50","1,320.30","-","41.8","3.27","110630","14.51","1,548.00","571.85","-0.85","45.58"
"LALPATHLAB","1,675.70","1,723.20","1,675.00","1,687.40","1,704.60","-","17.2","1.02","85063","14.49","1,803.00","1,272.60","4.26","13.57"
"CREDITACC","1,478.50","1,510.00","1,468.20","1,478.50","1,504.70","-","26.2","1.77","96324","14.42","1,608.10","1,113.00","6.95","18.46"
"IKS","1,897.10","1,915.60","1,855.00","1,897.10","1,897.60","-","0.5","0.03","73096","13.84","1,933.00","1,262.00","13.19","19.38"
"ABBOTINDIA","28,055.00","28,345.00","27,910.00","28,055.00","28,310.00","-","255","0.91","4896","13.77","35,310.00","25,150.00","7.95","-17.07"
"BSOFT","288.05","294.15","287.25","288.05","290.80","-","2.75","0.95","466753","13.60","474.00","270.20","-10.92","-30.73"
"GALLANTT","635.00","642.50","619.15","651.70","627.00","-","-24.7","-3.79","213939","13.42","948.00","496.25","-12.32","6.84"
"NH","2,020.00","2,047.50","2,010.00","2,029.50","2,042.20","-","12.7","0.63","64488","13.15","2,093.30","1,589.00","8.69","4.62"
"VIJAYA","1,341.10","1,379.40","1,341.10","1,341.30","1,349.10","-","7.8","0.58","95829","13.08","1,440.00","848.00","-1.11","31.22"
"GMDCLTD","578.50","588.00","577.00","581.50","580.20","-","-1.3","-0.22","218827","12.76","771.90","375.05","-5.38","33.23"
"SCI","281.80","283.95","279.60","281.75","280.20","-","-1.55","-0.55","444792","12.55","368.75","195.55","-10.24","27.87"
"VOLTAS","1,328.50","1,351.20","1,326.80","1,342.40","1,345.40","-","3","0.22","91613","12.28","1,582.50","1,186.80","0.12","-2.32"
"PFOCUS","292.80","292.80","285.31","289.47","286.60","-","-2.87","-0.99","425332","12.27","367.00","136.53","23.68","70.17"
"CHAMBLFERT","453.90","453.90","445.20","454.30","445.20","-","-9.1","-2","271650","12.16","580.70","399.75","-8.01","-18.82"
"TITAGARH","852.00","855.25","839.70","859.85","850.20","-","-9.65","-1.12","142310","12.06","971.00","568.70","-7.79","-8.15"
"CARBORUNIV","1,055.00","1,082.40","1,044.00","1,059.80","1,072.10","-","12.3","1.16","112498","11.97","1,306.90","735.20","-13.72","8.49"
"ACC","1,375.00","1,377.50","1,361.00","1,377.70","1,372.30","-","-5.4","-0.39","87338","11.97","1,993.90","1,251.70","2.08","-30.39"
"AWL","188.00","190.59","187.01","188.66","189.71","-","1.05","0.56","631643","11.93","286.00","171.19","2.98","-30.87"
"PVRINOX","1,005.00","1,022.20","998.00","999.25","1,010.70","-","11.45","1.15","116893","11.81","1,249.70","907.40","6.62","-0.76"
"ANANDRATHI","2,073.00","2,104.90","2,060.00","2,072.70","2,096.50","-","23.8","1.15","56056","11.73","2,176.20","1,253.30","12.26","59.96"
"SIGNATURE","805.00","809.50","797.55","809.70","802.60","-","-7.1","-0.88","144229","11.62","1,262.40","705.20","0.51","-35.6"
"KIMS","799.05","802.45","790.45","802.95","794.25","-","-8.7","-1.08","145214","11.56","858.00","575.80","-1.25","4.33"
"INDIAMART","1,910.10","1,955.00","1,893.40","1,910.10","1,930.00","-","19.9","1.04","59032","11.41","2,699.00","1,860.00","-7.63","-27.24"
"KAJARIACER","1,239.00","1,254.50","1,238.00","1,239.50","1,243.00","-","3.5","0.28","90249","11.27","1,321.90","869.60","6.24","1.4"
"ENGINERSIN","227.45","231.57","226.75","227.66","229.68","-","2.02","0.89","490410","11.25","267.00","163.55","-8.34","-2.3"
"IRCTC","507.00","507.00","499.70","507.00","502.80","-","-4.2","-0.83","220638","11.09","781.90","492.65","-3.2","-34.28"
"EMCURE","1,780.00","1,838.00","1,776.50","1,783.20","1,831.60","-","48.4","2.71","60839","11.08","1,944.00","1,260.00","3.14","33.98"
"GODIGIT","281.00","282.70","277.80","281.90","281.20","-","-0.7","-0.25","394665","11.04","381.40","277.80","-7.65","-19.57"
"JKTYRE","399.95","401.95","397.50","403.20","398.90","-","-4.3","-1.07","276304","11.04","611.90","311.00","-0.55","8.04"
"AADHARHFC","517.25","524.45","509.70","517.25","510.20","-","-7.05","-1.36","210893","10.84","563.00","430.15","-0.94","1.1"
"BAYERCROP","4,234.10","4,274.90","4,225.40","4,234.10","4,247.00","-","12.9","0.3","25120","10.67","6,509.50","4,030.00","-0.53","-33.09"
"PARADEEP","140.00","141.00","138.75","140.26","139.18","-","-1.08","-0.77","757771","10.60","234.39","99.70","2.18","-18.74"
"REDINGTON","273.90","276.90","271.50","275.05","271.70","-","-3.35","-1.22","386401","10.59","314.40","191.31","-3.26","-12.6"
"CIEINDIA","475.95","481.00","471.00","473.70","477.80","-","4.1","0.87","221080","10.56","526.00","381.10","2.75","11.1"
"CHOLAHLDNG","1,575.00","1,575.00","1,542.90","1,573.60","1,553.50","-","-20.1","-1.28","66549","10.34","2,169.00","1,305.00","-1.9","-26.57"
"JAINREC","327.90","332.00","325.40","328.80","327.60","-","-1.2","-0.36","313000","10.30","593.95","247.57","-13.12","0"
"SOBHA","1,468.70","1,469.00","1,450.30","1,462.00","1,459.20","-","-2.8","-0.19","69943","10.22","1,732.50","1,130.00","2.9","-13.87"
"TATACAP","353.80","353.80","346.65","354.20","347.80","-","-6.4","-1.81","288764","10.07","379.95","296.00","-5.18","0"
"JMFINANCIL","124.10","124.85","123.05","124.25","123.35","-","-0.9","-0.72","770307","9.54","199.80","112.00","-2.35","-27.13"
"LEMONTREE","111.41","111.94","110.31","111.97","110.70","-","-1.27","-1.13","851869","9.44","180.68","99.61","-2.07","-28.39"
"KPRMILL","1,147.80","1,157.50","1,132.90","1,140.30","1,138.40","-","0.6","0.05","82392","9.42","1,334.00","796.10","-1.82","-3.53"
"TATACOMM","1,815.00","1,862.60","1,815.00","1,817.10","1,822.40","-","5.3","0.29","50663","9.29","2,110.00","1,322.50","-8.35","3.34"
"SCHAEFFLER","4,152.00","4,219.00","4,120.50","4,146.10","4,191.80","-","45.7","1.1","22082","9.24","4,467.70","3,518.40","-3.19","-0.24"
"CAPLIPOINT","2,614.00","2,684.20","2,601.10","2,614.20","2,671.50","-","57.3","2.19","34217","9.11","2,699.00","1,500.30","6.71","27.02"
"STARHEALTH","582.95","592.45","577.35","582.95","579.20","-","-3.75","-0.64","153440","8.97","623.90","416.55","-0.1","33.74"
"IOB","34.00","34.39","33.92","33.85","34.25","-","0.4","1.18","2542158","8.68","41.80","31.20","-2.42","-13.95"
"HDBFS","736.90","736.90","720.40","732.50","721.80","-","-10.7","-1.46","119212","8.63","822.50","555.30","0.63","-9.63"
"CUB","224.63","227.49","223.00","224.63","223.14","-","-1.49","-0.66","376720","8.46","243.08","145.13","13.51","40.06"
"INTELLECT","762.00","766.45","746.30","760.00","747.10","-","-12.9","-1.7","112005","8.44","1,244.60","595.20","-0.07","-36.33"
"HUDCO","202.93","203.00","201.06","202.93","201.18","-","-1.75","-0.86","415334","8.38","246.85","159.00","-3.58","-11.04"
"PTCIL","17,978.00","18,078.00","17,841.00","17,941.00","17,861.00","-","-80","-0.45","4594","8.25","19,851.00","13,251.00","-2.57","23.2"
"FINCABLES","1,018.00","1,025.00","1,009.50","1,017.30","1,015.40","-","-1.9","-0.19","80392","8.18","1,203.90","700.80","-12.83","9.26"
"HOMEFIRST","1,241.00","1,252.30","1,235.10","1,241.80","1,249.40","-","7.6","0.61","64405","8.04","1,519.00","893.70","8.27","-8.51"
"JUBLINGREA","739.00","745.00","730.60","739.05","736.95","-","-2.1","-0.28","108336","8.00","851.80","537.30","15.49","-11.4"
"BLUEJET","580.10","586.15","576.80","584.55","578.65","-","-5.9","-1.01","135799","7.89","1,027.80","325.00","12.92","-42.7"
"TRITURBINE","613.05","623.70","612.25","615.25","614.60","-","-0.65","-0.11","127017","7.86","787.60","428.35","-8.58","-7.96"
"BALRAMCHIN","600.00","606.25","598.00","604.45","599.80","-","-4.65","-0.77","129579","7.80","624.70","393.55","12.83","-2.91"
"SJVN","69.30","69.73","68.67","69.13","69.19","-","0.06","0.09","1125399","7.78","101.45","63.02","-5.06","-30.02"
"ELECON","464.35","473.85","458.20","464.35","466.45","-","2.1","0.45","164863","7.68","634.90","352.00","-13.45","-22.37"
"FSL","263.70","269.00","262.90","266.38","264.10","-","-2.28","-0.86","281935","7.50","381.40","202.00","7.93","-25.22"
"ACE","987.40","1,001.30","983.50","987.40","990.40","-","3","0.3","75261","7.48","1,170.00","745.10","1.65","-13.05"
"APOLLOTYRE","428.00","431.25","426.60","430.65","427.60","-","-3.05","-0.71","172470","7.39","540.50","365.30","0.56","-5.99"
"MSUMI","40.50","40.50","39.60","40.34","39.62","-","-0.72","-1.78","1837258","7.32","53.59","35.70","4.26","-8.89"
"URBANCO","130.35","132.51","129.46","130.35","132.45","-","2.1","1.61","557383","7.30","201.18","100.70","1.73","0"
"HONASA","465.45","473.95","465.00","466.95","471.45","-","4.5","0.96","154469","7.27","491.35","248.40","13","64.65"
"GRAVITA","1,805.50","1,824.90","1,801.00","1,818.20","1,813.90","-","-4.3","-0.24","39623","7.19","1,949.00","1,266.90","5.28","5.21"
"DEEPAKNTR","1,702.00","1,715.00","1,684.00","1,708.00","1,701.10","-","-6.9","-0.4","41983","7.14","1,969.70","1,280.00","3.42","-12.74"
"MGL","1,095.00","1,100.40","1,085.10","1,100.40","1,096.10","-","-4.3","-0.39","64707","7.09","1,562.00","900.00","-9.24","-27.39"
"IRCON","129.30","130.47","128.17","129.33","129.40","-","0.07","0.05","543289","7.02","195.25","114.50","-5.68","-30.77"
"BALKRISIND","2,079.00","2,081.10","2,050.20","2,065.30","2,066.50","-","1.2","0.06","33846","7.00","2,801.30","1,970.00","-7.83","-24.67"
"GPIL","244.00","247.60","243.95","244.35","245.45","-","1.1","0.45","282422","6.95","320.00","185.32","-8.77","27.81"
"BAJAJHFL","86.00","86.25","85.64","86.34","86.09","-","-0.25","-0.29","795855","6.84","124.00","72.65","-2.63","-29.41"
"BEML","1,800.00","1,810.50","1,787.00","1,812.40","1,787.90","-","-24.5","-1.35","38033","6.84","2,320.50","1,355.00","2.21","-18.76"
"JWL","251.00","253.45","249.45","254.30","251.90","-","-2.4","-0.94","271547","6.82","374.90","235.65","-9.16","-31.29"
"WELSPUNLIV","164.22","166.90","163.40","164.40","164.28","-","-0.12","-0.07","408141","6.74","174.97","107.10","1.23","14.96"
"BRIGADE","567.20","567.80","553.10","566.65","560.80","-","-5.85","-1.03","118233","6.60","856.50","450.75","2.74","-32.79"
"ASTERDM","820.00","821.95","810.35","819.90","812.00","-","-7.9","-0.96","80322","6.54","836.50","519.10","0.32","36.55"
"DEEPAKFERT","1,598.00","1,598.00","1,578.00","1,594.00","1,581.30","-","-12.7","-0.8","41211","6.53","1,680.00","866.40","1.1","-0.06"
"RAILTEL","297.00","297.85","293.55","298.00","294.80","-","-3.2","-1.07","219509","6.49","415.40","245.00","-7.72","-27.48"
"BHARTIHEXA","1,616.00","1,632.00","1,575.00","1,605.50","1,602.50","-","-3","-0.19","39944","6.45","1,955.60","1,430.00","7.21","-10.61"
"COROMANDEL","2,022.20","2,047.00","2,015.00","2,034.30","2,039.50","-","5.2","0.26","31677","6.44","2,718.90","1,706.50","1.28","-11.69"
"SUPREMEIND","3,433.70","3,479.50","3,424.80","3,433.70","3,446.10","-","12.4","0.36","18580","6.42","4,664.90","3,140.00","-2.48","-18.47"
"TRIDENT","25.50","25.66","25.15","25.21","25.45","-","0.24","0.95","2527282","6.41","33.66","21.98","-1.85","-19.16"
"GODREJCP","1,068.30","1,069.50","1,055.80","1,071.90","1,062.50","-","-9.4","-0.88","58639","6.22","1,309.00","967.05","6.23","-15.06"
"ELGIEQUIP","584.00","590.00","575.30","581.70","581.75","-","0.05","0.01","102681","5.98","633.85","408.25","-5.06","5.98"
"NAVA","583.85","590.00","580.00","586.80","582.00","-","-4.8","-0.82","102522","5.97","739.40","501.65","-6.43","-4.54"
"RITES","216.00","219.51","216.00","218.09","218.02","-","-0.07","-0.03","273831","5.96","280.90","175.00","2.21","-20.74"
"SWANCORP","308.20","313.20","308.20","310.55","310.60","-","0.05","0.02","190106","5.91","524.20","295.65","-2.39","-38.59"
"SUMICHEM","542.60","542.70","531.60","538.55","540.05","-","1.5","0.28","109779","5.91","665.00","362.60","19.3","-10.9"
"ENDURANCE","2,733.00","2,747.80","2,714.80","2,733.00","2,738.30","-","5.3","0.19","21505","5.88","3,079.90","2,142.80","4.26","2.68"
"JBMA","665.45","669.75","661.50","670.35","665.75","-","-4.6","-0.69","87032","5.80","790.00","477.00","-8.49","3.94"
"NCC","139.10","140.79","138.75","139.60","139.81","-","0.21","0.15","410109","5.73","232.00","130.00","-10.27","-38.56"
"UBL","1,353.00","1,361.00","1,339.30","1,339.70","1,347.00","-","7.3","0.54","42104","5.68","2,110.00","1,276.00","0.38","-32.74"
"EIDPARRY","751.05","762.45","746.00","751.00","752.65","-","1.65","0.22","75051","5.67","1,246.80","698.20","6.88","-34.69"
"CESC","165.00","167.09","164.29","165.10","166.59","-","1.49","0.9","338699","5.62","204.50","138.12","-1.4","-6.83"
"AJANTPHARM","3,440.00","3,477.50","3,419.60","3,419.40","3,467.10","-","47.7","1.39","16265","5.62","3,506.90","2,329.90","13.14","25.07"
"CCL","1,184.30","1,208.30","1,183.60","1,191.40","1,207.50","-","16.1","1.35","45626","5.46","1,242.20","815.50","6.25","38.64"
"TATACHEM","698.45","698.45","691.30","698.45","694.15","-","-4.3","-0.62","77691","5.40","1,026.65","580.30","-4.86","-25.56"
"BLS","236.90","236.90","233.10","235.70","234.90","-","-0.8","-0.34","225263","5.29","414.90","218.90","-12.1","-38.58"
"AIAENG","4,628.00","4,710.00","4,625.00","4,647.50","4,650.00","-","2.5","0.05","11169","5.22","5,180.00","3,001.10","-0.85","37.98"
"SUNTV","495.00","499.55","491.45","498.80","493.40","-","-5.4","-1.08","105187","5.20","660.70","480.20","-5.27","-14.3"
"TECHNOE","1,030.00","1,030.00","1,013.00","1,034.10","1,015.20","-","-18.9","-1.83","50633","5.16","1,575.00","870.00","-5.96","-33.55"
"USHAMART","494.95","505.00","492.85","494.95","500.40","-","5.45","1.1","102408","5.12","527.50","333.60","5.2","31.31"
"IRB","20.00","20.00","19.85","20.01","19.86","-","-0.15","-0.75","2547108","5.07","24.45","19.15","-7.32","-17.31"
"LATENTVIEW","305.00","305.05","301.40","303.85","302.80","-","-1.05","-0.35","165748","5.02","517.50","248.00","1.17","-31.21"
"TENNIND","554.00","558.25","550.20","554.40","552.45","-","-1.95","-0.35","90098","4.99","657.00","438.05","-5.56","0"
"ABREL","1,431.70","1,443.90","1,419.20","1,448.60","1,439.00","-","-9.6","-0.66","34674","4.96","2,202.80","1,080.10","12.47","-32.21"
"UCOBANK","26.00","26.28","25.93","26.06","26.14","-","0.08","0.31","1885949","4.93","34.20","22.22","-5.22","-18.64"
"JSWCEMENT","139.90","141.48","139.21","139.93","140.52","-","0.59","0.42","347148","4.88","162.15","106.65","9.47","0"
"CRISIL","4,240.50","4,247.10","4,200.00","4,245.70","4,229.10","-","-16.6","-0.39","11374","4.81","5,995.00","3,686.00","2.28","-28.41"
"IGL","152.95","153.63","151.70","153.11","153.09","-","-0.02","-0.01","314126","4.80","223.50","141.74","-8.57","-28.75"
"ABDL","622.35","628.00","616.80","616.55","619.30","-","2.75","0.45","76386","4.75","711.70","382.10","-1.89","29.16"
"IGIL","346.35","346.35","341.05","346.35","342.15","-","-4.2","-1.21","137641","4.72","442.00","287.00","-3.82","-12.3"
"CASTROLIND","184.00","184.69","183.65","184.45","184.20","-","-0.25","-0.14","243358","4.48","231.00","170.10","-0.86","-16.84"
"FIVESTAR","555.00","556.30","547.35","557.75","552.90","-","-4.85","-0.87","78358","4.32","763.50","338.15","6.38","-24.27"
"MMTC","63.00","63.96","62.75","63.52","63.43","-","-0.09","-0.14","674827","4.28","78.35","50.10","-14.96","-6.9"
"SARDAEN","498.25","509.00","496.00","499.50","504.25","-","4.75","0.95","84385","4.26","639.75","429.30","-3.65","13.89"
"ATUL","6,138.00","6,218.00","6,114.00","6,149.50","6,162.00","-","12.5","0.2","6888","4.25","7,455.50","5,560.50","-4.98","-11.27"
"LGEINDIA","1,572.00","1,580.00","1,566.20","1,581.80","1,579.10","-","-2.7","-0.17","26834","4.22","1,749.00","1,304.10","-4.28","0"
"WHIRLPOOL","771.80","782.90","768.80","771.80","777.05","-","5.25","0.68","53405","4.14","1,473.80","756.85","-2.35","-46.27"
"CYIENT","848.00","855.40","846.20","853.90","849.70","-","-4.2","-0.49","47591","4.05","1,306.00","750.30","-1.11","-33.56"
"GILLETTE","7,820.00","7,878.00","7,786.00","7,810.00","7,875.50","-","65.5","0.84","5076","3.98","11,370.00","7,206.00","0.61","-30.04"
"3MINDIA","34,940.00","35,240.00","34,710.00","34,870.00","35,200.00","-","330","0.95","1125","3.93","38,030.00","28,730.00","6.26","17.73"
"NIACL","175.10","176.22","174.23","174.82","175.34","-","0.52","0.3","223420","3.92","218.00","116.97","-13.4","-5.55"
"TBOTEK","1,440.00","1,449.50","1,430.00","1,459.00","1,433.60","-","-25.4","-1.74","26964","3.89","1,764.80","1,004.20","-3.75","1.04"
"THELEELA","481.30","490.10","481.30","485.65","484.55","-","-1.1","-0.23","79340","3.87","511.00","384.50","-2.06","4.99"
"ABFRL","57.81","58.30","57.30","57.85","57.90","-","0.05","0.09","666986","3.86","94.95","53.51","-4.47","-23.28"
"CONCORDBIO","1,335.00","1,363.30","1,327.60","1,342.80","1,339.20","-","-3.6","-0.27","28584","3.83","1,980.00","987.00","1.79","-29.32"
"LINDEINDIA","7,070.00","7,130.50","7,050.00","7,114.50","7,071.50","-","-43","-0.6","5200","3.68","8,049.00","5,673.00","-5.21","5.49"
"BERGEPAINT","494.70","498.70","492.50","493.70","494.50","-","0.8","0.16","73982","3.67","594.55","391.10","-10.13","-14.2"
"GLAXO","2,454.50","2,472.00","2,445.40","2,454.80","2,453.70","-","-1.1","-0.04","13965","3.43","3,220.00","2,088.10","5.22","-21.82"
"TATAINVEST","662.30","664.85","657.70","662.30","659.85","-","-2.45","-0.37","51751","3.42","1,184.70","538.85","-4.51","0.88"
"ITI","283.00","284.10","280.05","284.50","281.50","-","-3","-1.05","118910","3.35","372.85","237.00","-9.97","-10.98"
"SHREECEM","26,515.00","26,730.00","26,400.00","26,515.00","26,705.00","-","190","0.72","1243","3.31","32,490.00","22,550.00","6.5","-13.27"
"UTIAMC","940.10","940.10","930.20","940.10","931.40","-","-8.7","-0.93","34612","3.23","1,494.80","896.50","-2.02","-34.96"
"GICRE","362.00","363.00","360.00","362.00","360.95","-","-1.05","-0.29","86576","3.13","417.95","346.70","-2.09","-5.62"
